Symbol,Exchange,Name,Last_Price,Market_Cap,IPO_Year,Sector,Industry
MBOT,NASDAQ,Microbot Medical Inc. ,7.9,34029882.0,1969,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MBRX,NASDAQ,"Moleculin Biotech, Inc.",0.998,29075761.94,2016,Health Care,Major Pharmaceuticals
MBSD,NASDAQ,FlexShares Disciplined Duration MBS Index Fund,23.18,53314023.18,1969,,
MBT,NYSE,Mobile TeleSystems OJSC,8.03,7569257542.77,1969,Public Utilities,Telecommunications Equipment
MBTF,NASDAQ,M B T Financial Corp,10.62,244650369.96,1969,Finance,Major Banks
MBUU,NASDAQ,"Malibu Boats, Inc.",39.98,833047787.74,2014,Capital Goods,Marine Transportation
MBWM,NASDAQ,Mercantile Bank Corporation,33.33,547306463.88,1998,Finance,Major Banks
MC,NYSE,Moelis & Company,38.99,1776503046.57,2014,Finance,Investment Managers
MCA,NYSE,"Blackrock MuniYield California Insured Fund, Inc.",13.57,466885579.69,1992,,
MCB,NYSE,Metropolitan Bank Holding Corp.,37.11,306650803.23,2017,Finance,Major Banks
MCBC,NASDAQ,Macatawa Bank Corporation,10.6,360761979.4,1969,Finance,Major Banks
MCC,NYSE,Medley Capital Corporation,3.17,172683248.87,2011,,
MCD,NYSE,McDonald&#39;s Corporation,189.22,144813345561.04,1969,Consumer Services,Restaurants
MCEF,NASDAQ,First Trust Municipal CEF Income Opportunity ETF,18.5427,9271387.0854,1969,,
MCEP,NASDAQ,"Mid-Con Energy Partners, LP",0.8301,25450001.0358,2011,Energy,Oil & Gas Production
MCF,AMEX,Contango Oil & Gas Company,3.3,113737734.0,1969,Energy,Oil & Gas Production
MCFT,NASDAQ,"MasterCraft Boat Holdings, Inc.",23.48,439731138.96,2015,Capital Goods,Marine Transportation
MCHI,NASDAQ,iShares MSCI China ETF,64.96,4677120000.0,1969,,
MCHP,NASDAQ,Microchip Technology Incorporated,94.25,22334323820.25,1993,Technology,Semiconductors
MCHX,NASDAQ,"Marchex, Inc.",4.84,179280075.92,2004,Miscellaneous,Business Services
MCI,NYSE,Barings Corporate Investors,15.45,310280326.05,1969,,
MCK,NYSE,McKesson Corporation,115.27,22111699103.44,1969,Health Care,Other Pharmaceuticals
MCN,NYSE,Madison Covered Call & Equity Strategy Fund,6.77,141810675.48,2004,,
MCO,NYSE,Moody&#39;s Corporation,185.28,34982701607.04,1969,Finance,Finance: Consumer Services
MCR,NYSE,MFS Charter Income Trust,7.93,372629954.58,1989,,
MCRB,NASDAQ,"Seres Therapeutics, Inc.",6.6,270919176.0,2015,Health Care,Major Pharmaceuticals
MCRI,NASDAQ,"Monarch Casino & Resort, Inc.",47.15,846337124.9,1993,Consumer Services,Hotels/Resorts
MCRN,NYSE,Milacron Holdings Corp.,13.52,948667547.36,2015,Technology,Industrial Machinery/Components
MCS,NYSE,Marcus Corporation (The),40.64,922813333.44,1969,Consumer Services,Movies/Entertainment
MCV,NYSE,Medley Capital Corporation,24.81,,1969,,
MCX,NYSE,Medley Capital Corporation,25.2999,,2015,,
MCY,NYSE,Mercury General Corporation,50.23,2779732067.71,1969,Finance,Property-Casualty Insurers
MD,NYSE,"Mednax, Inc",27.78,2441000486.64,1969,Health Care,Hospital/Nursing Management
MDB,NASDAQ,"MongoDB, Inc.",143.58,5338198294.38,2017,Technology,Computer Software: Prepackaged Software
MDC,NYSE,"M.D.C. Holdings, Inc.",30.88,1894139086.88,1969,Capital Goods,Homebuilding
MDCA,NASDAQ,MDC Partners Inc.,2.13,153133238.07,1969,Technology,Advertising
MDCO,NASDAQ,The Medicines Company,29.11,2149990456.83,2000,Health Care,Major Pharmaceuticals
MDGL,NASDAQ,"Madrigal Pharmaceuticals, Inc.",142.5,2196931620.0,1969,Health Care,Major Pharmaceuticals
MDGS,NASDAQ,Medigus Ltd.,2.9801,4906585.645,1969,Health Care,Medical/Dental Instruments
MDGSW,NASDAQ,Medigus Ltd.,0.6,,1969,Health Care,Medical/Dental Instruments
MDIV,NASDAQ,First Trust Multi-Asset Diversified Income Index Fund,18.55,635337537.1,1969,,
MDJH,NASDAQ,MDJM LTD,3.1127,37290146.0,2019,Finance,Real Estate
MDLQ,NYSE,Medley LLC,18.25,,2017,Finance,Investment Managers
MDLX,NYSE,Medley LLC,17.38,,2016,Finance,Investment Managers
MDLY,NYSE,Medley Management Inc.,3.32,19313429.36,2014,Finance,Investment Managers
MDLZ,NASDAQ,"Mondelez International, Inc.",49.7,71853661733.7,1969,Consumer Non-Durables,Packaged Foods
MDP,NYSE,Meredith Corporation,58.7,2646052126.3,1969,Consumer Services,Newspapers/Magazines
MDR,NYSE,"McDermott International, Inc.",8.61,1563497907.3,1969,Capital Goods,Metal Fabrications
MDRR,NASDAQ,"Medalist Diversified REIT, Inc.",7.2004,16716319.0328,2018,Consumer Services,Real Estate Investment Trusts
MDRX,NASDAQ,"Allscripts Healthcare Solutions, Inc.",9.93,1701324734.28,1969,Technology,EDP Services
MDSO,NASDAQ,"Medidata Solutions, Inc.",75.93,4728689952.45,2009,Technology,Computer Software: Prepackaged Software
MDT,NYSE,Medtronic plc,88.63,118866210471.1,1969,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MDU,NYSE,"MDU Resources Group, Inc.",25.64,5039925343.64,1969,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MDWD,NASDAQ,MediWound Ltd.,5.1,138612078.9,2014,Consumer Durables,Specialty Chemicals
MED,NYSE,MEDIFAST INC,139.35,1654146371.4,1969,Consumer Non-Durables,Packaged Foods
MEDP,NASDAQ,"Medpace Holdings, Inc.",59.99,2149215057.78,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MEET,NASDAQ,"The Meet Group, Inc.",5.15,385901190.5,1969,Consumer Services,Advertising
MEI,NYSE,"Methode Electronics, Inc.",30.18,1116266211.36,1969,Capital Goods,Electrical Products
MEIP,NASDAQ,"MEI Pharma, Inc.",3.21,228388745.82,1969,Health Care,Major Pharmaceuticals
MELI,NASDAQ,"MercadoLibre, Inc.",514.34,23249638498.06,2007,Miscellaneous,Business Services
MELR,NASDAQ,"Melrose Bancorp, Inc.",18.545,45252266.485,2014,Finance,Major Banks
MEN,NYSE,"Blackrock MuniEnhanced Fund, Inc.",10.78,319562761.98,1989,,
MEOH,NASDAQ,Methanex Corporation,58.49,4519286760.77,1969,Basic Industries,Major Chemicals
MERC,NASDAQ,Mercer International Inc.,14.16,923255519.76,1969,Basic Industries,Paper
MER^K,NYSE,"Merrill Lynch & Co., Inc.",26.15,,1969,,
MESA,NASDAQ,"Mesa Air Group, Inc.",8.34,199350211.02,2018,Transportation,Air Freight/Delivery Services
MESO,NASDAQ,Mesoblast Limited,5.5101,43487114.2755,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MET,NYSE,"MetLife, Inc.",44.83,42914451846.86,2000,Finance,Life Insurance
METC,NASDAQ,"Ramaco Resources, Inc.",5.79,236463466.83,2017,Energy,Coal Mining
MET^A,NYSE,"MetLife, Inc.",23.4299,,1969,,
MET^E,NYSE,"MetLife, Inc.",26.01,,1969,,
MFA,NYSE,"MFA Financial, Inc.",7.35,3311047800.9,1969,Consumer Services,Real Estate Investment Trusts
MFAC,NYSE,Megalith Financial Acquisition Corp.,9.98,168950312.22,2018,Finance,Business Services
MFAC.U,NYSE,Megalith Financial Acquisition Corp.,0.0,0.0,2018,,
MFAC.WS,NYSE,Megalith Financial Acquisition Corp.,0.0,0.0,1969,,
MFA^B,NYSE,"MFA Financial, Inc.",25.0,,1969,,
MFC,NYSE,Manulife Financial Corp,17.78,37410736717.62,1969,Finance,Life Insurance
MFCB,NYSE,MFC Bancorp Ltd.,7.87,98648883.87,1969,Finance,Commercial Banks
MFD,NYSE,Macquarie First Trust Global,11.15,95303978.3,2004,,
MFG,NYSE,"Mizuho Financial Group, Inc.",3.12,39558969655.92,1969,Finance,Major Banks
MFGP,NYSE,Micro Focus Intl PLC,25.24,10358157683.04,2017,Technology,Computer Software: Prepackaged Software
MFIN,NASDAQ,Medallion Financial Corp.,6.99,170787914.22,1969,Finance,Finance: Consumer Services
MFINL,NASDAQ,Medallion Financial Corp.,26.23,,1969,Finance,Finance: Consumer Services
MFL,NYSE,Blackrock MuniHoldings Investment Quality Fund,12.96,491134855.68,1997,,
MFM,NYSE,MFS Municipal Income Trust,6.91,284606530.21,1986,,
MFNC,NASDAQ,Mackinac Financial Corporation,15.6,167417718.0,1969,Finance,Major Banks
MFO,NYSE,"MFA Financial, Inc.",26.18,,1969,Consumer Services,Real Estate Investment Trusts
MFSF,NASDAQ,MutualFirst Financial Inc.,29.8,257008967.6,1969,Finance,Major Banks
MFT,NYSE,Blackrock MuniYield Investment QualityFund,13.16,111533487.24,1992,,
MFV,NYSE,MFS Special Value Trust,5.5981,39924428.8142,1969,,
MG,NYSE,Mistras Group Inc,13.51,385876105.58,2009,Consumer Services,Military/Government/Technical
MGA,NYSE,"Magna International, Inc.",53.69,17346321598.97,1969,Capital Goods,Auto Parts:O.E.M.
MGEE,NASDAQ,MGE Energy Inc.,67.66,2345661914.2,1969,Energy,Electric Utilities: Central
MGEN,NASDAQ,"Miragen Therapeutics, Inc.",3.06,94618930.14,2014,Health Care,Medical Specialities
MGF,NYSE,MFS Government Markets Income Trust,4.46,145400981.82,1987,,
MGI,NASDAQ,"Moneygram International, Inc.",2.35,132339707.15,1969,Miscellaneous,Business Services
MGIC,NASDAQ,Magic Software Enterprises Ltd.,9.25,452242101.5,1991,Technology,Computer Software: Prepackaged Software
MGLN,NASDAQ,"Magellan Health, Inc.",65.78,1573808996.76,1969,Health Care,Hospital/Nursing Management
MGM,NYSE,MGM Resorts International,26.64,14303479163.04,1969,Consumer Services,Hotels/Resorts
MGNX,NASDAQ,"MacroGenics, Inc.",18.34,895074089.84,2013,Health Care,Major Pharmaceuticals
MGP,NYSE,MGM Growth Properties LLC,32.37,2928227943.42,2016,Consumer Services,Real Estate Investment Trusts
MGPI,NASDAQ,"MGP Ingredients, Inc.",77.69,1321886182.58,1969,Consumer Non-Durables,Beverages (Production/Distribution)
MGR,NYSE,"Affiliated Managers Group, Inc.",25.13,,2019,Finance,Investment Managers
MGRC,NASDAQ,McGrath RentCorp,59.37,1435704397.77,1984,Technology,Diversified Commercial Services
MGTA,NASDAQ,"Magenta Therapeutics, Inc.",16.15,540484394.9,2018,Health Care,Major Pharmaceuticals
MGTX,NASDAQ,MeiraGTx Holdings plc,20.0,663674680.0,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MGU,NYSE,Macquarie Global Infrastructure Total Return Fund Inc.,22.52,280785958.36,2005,,
MGY,NYSE,Magnolia Oil & Gas Corporation,13.34,3330723969.72,2017,Energy,Oil & Gas Production
MGY.WS,NYSE,Magnolia Oil & Gas Corporation,0.0,0.0,1969,,
MGYR,NASDAQ,"Magyar Bancorp, Inc.",11.87,69092255.02,1969,Finance,Savings Institutions
MHD,NYSE,"Blackrock MuniHoldings Fund, Inc.",15.99,226532872.41,1997,,
MHE,NYSE,BlackRock Massachusetts Tax-Exempt Trust,12.56,29780048.88,1993,,
MHF,NYSE,"Western Asset Municipal High Income Fund, Inc.",7.365,159326558.91,1988,,
MHH,AMEX,"Mastech Digital, Inc",6.035,66390709.11,1969,Consumer Services,Professional Services
MHI,NYSE,Pioneer Municipal High Income Trust,11.94,271889907.06,2003,,
MHK,NYSE,"Mohawk Industries, Inc.",131.2,9501743177.6,1969,Consumer Durables,Home Furnishings
MHLA,NYSE,"Maiden Holdings, Ltd.",15.97,,2016,Finance,Property-Casualty Insurers
MHLD,NASDAQ,"Maiden Holdings, Ltd.",0.7798,64690566.52100001,1969,Finance,Property-Casualty Insurers
MHN,NYSE,"Blackrock MuniHoldings New York Quality Fund, Inc.",12.92,402225737.16,1997,,
MHNC,NYSE,"Maiden Holdings, Ltd.",20.2,,2013,Finance,Property-Casualty Insurers
MHO,NYSE,"M/I Homes, Inc.",28.0,771089928.0,1993,Capital Goods,Homebuilding
MH^A,NYSE,"Maiden Holdings, Ltd.",7.17,,1969,,
MH^C,NYSE,"Maiden Holdings, Ltd.",5.57,,1969,,
MH^D,NYSE,"Maiden Holdings, Ltd.",5.69,,1969,,
MIC,NYSE,Macquarie Infrastructure Corporation ,41.83,3596640947.56,2004,Energy,Oil Refining/Marketing
MICR,AMEX,"Micron Solutions, Inc.",2.77,7956016.16,1969,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MICT,NASDAQ,"MICT, Inc.",1.122,12043808.304,1969,Capital Goods,Electrical Products
MIDD,NASDAQ,The Middleby Corporation,134.17,7473734033.22,1969,Technology,Industrial Machinery/Components
MIE,NYSE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",9.77,261770931.8,2013,,
MIK,NASDAQ,"The Michaels Companies, Inc.",12.85,2027384206.5,2014,Consumer Services,Recreational Products/Toys
MILN,NASDAQ,Global X Millennials Thematic ETF,24.3001,40091617.1854,1969,,
MIME,NASDAQ,Mimecast Limited,48.0,2900247456.0,2015,Technology,Computer Software: Prepackaged Software
MIN,NYSE,MFS Intermediate Income Trust,3.79,446147918.91,1988,,
MIND,NASDAQ,"Mitcham Industries, Inc.",3.92,47508044.08,1994,Technology,Diversified Commercial Services
MINDP,NASDAQ,"Mitcham Industries, Inc.",25.735,20536530.0,1969,Technology,Diversified Commercial Services
MINI,NASDAQ,"Mobile Mini, Inc.",34.13,1531360881.1,1994,Capital Goods,Metal Fabrications
MITK,NASDAQ,"Mitek Systems, Inc.",12.0,464816292.0,1969,Technology,Computer peripheral equipment
MITO,NASDAQ,Stealth BioTherapeutics Corp.,14.2,88040000.0,2019,Health Care,Major Pharmaceuticals
MITT,NYSE,"AG Mortgage Investment Trust, Inc.",16.95,545785626.9,2011,,
MITT^A,NYSE,"AG Mortgage Investment Trust, Inc.",25.501,,1969,,
MITT^B,NYSE,"AG Mortgage Investment Trust, Inc.",25.7,,1969,,
MIXT,NYSE,MiX Telematics Limited,17.11,389941006.4,2013,Technology,Computer Software: Prepackaged Software
